label,message,word_count,has_punctuation,has_digits,has_url,has_special_chars,has_uppercase,has_emoji,tokens
ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,20,True,False,False,False,True,False,"['go', 'jurong', 'point', 'crazi', 'avail', 'bugi', 'great', 'world', 'la', 'buffet', 'cine', 'got', 'amor', 'wat']"
ham,ok lar joking wif u oni,6,True,False,False,False,True,False,"['ok', 'lar', 'joke', 'wif', 'oni']"
spam,free entry in a wkly comp to win fa cup final tkts st may text receive questionstd txt ratetcs apply overs,28,True,True,False,True,True,False,"['free', 'entri', 'wkli', 'comp', 'win', 'fa', 'cup', 'final', 'tkt', 'st', 'may', 'text', 'receiv', 'questionstd', 'txt', 'ratetc', 'appli', 'over']"
ham,u dun say so early hor c already then,11,True,False,False,False,True,False,"['dun', 'say', 'earli', 'hor', 'alreadi']"
ham,nah i dont think he goes to usf lives around here though,13,True,False,False,False,True,False,"['nah', 'dont', 'think', 'goe', 'usf', 'live', 'around', 'though']"
spam,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xx std chgs to send rcv,32,True,True,False,False,True,False,"['freemsg', 'hey', 'darl', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xx', 'std', 'chg', 'send', 'rcv']"
ham,even my brother is not like to speak with me they treat aids patent,16,True,False,False,False,True,False,"['even', 'brother', 'like', 'speak', 'treat', 'aid', 'patent']"
ham,as per your request melle oru minnaminunginte nurungu vettam has been set callertune for all callers press to copy friends,26,True,True,False,True,True,False,"['per', 'request', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', 'copi', 'friend']"
spam,winner as a valued network customer you have been selected to receivea prize reward claim call code kl valid hours only,26,True,True,False,False,True,False,"['winner', 'valu', 'network', 'custom', 'select', 'receivea', 'prize', 'reward', 'claim', 'call', 'code', 'kl', 'valid', 'hour']"
spam,had your mobile months or more u r entitled to update the latest colour mobiles with camera for free call co on,29,True,True,False,False,True,False,"['mobil', 'month', 'entitl', 'updat', 'latest', 'colour', 'mobil', 'camera', 'free', 'call', 'co']"
ham,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,21,True,False,False,False,True,False,"['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'ive', 'cri', 'enough', 'today']"
spam,six chances to win cash from pounds txt csh and send cost pday days tsandcs apply reply hl info,26,True,True,False,True,True,False,"['six', 'chanc', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'pday', 'day', 'tsandc', 'appli', 'repli', 'hl', 'info']"
spam,urgent you have won a week free membership in our prize jackpot txt the word claim to no tc wwdbuknet lccltd pobox ldnwarw,26,True,True,True,True,True,False,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'wwdbuknet', 'lccltd', 'pobox', 'ldnwarw']"
ham,ive been searching for the right words to thank you this breather i promise wont take your help granted and will fulfil my have wonderful a blessing at all times,37,True,False,False,False,True,False,"['ive', 'search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'wonder', 'bless', 'time']"
ham,i have a date on sunday with will,8,True,False,False,False,True,False,"['date', 'sunday']"
spam,xxmobilemovieclub to use your credit click the wap link in next txt message or here httpwap xxmobilemovieclubcomnqjkgighjjgcbl,19,True,False,True,True,True,False,"['xxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'httpwap', 'xxmobilemovieclubcomnqjkgighjjgcbl']"
ham,oh kim watching here,4,True,False,False,True,True,False,"['oh', 'kim', 'watch']"
ham,eh u remember how spell his name yes i did he v naughty make until wet,19,True,True,False,False,True,False,"['eh', 'rememb', 'spell', 'name', 'ye', 'naughti', 'make', 'wet']"
ham,fine if thats the way u feel its gota b,13,True,False,False,False,True,False,"['fine', 'that', 'way', 'feel', 'gota']"
spam,england v macedonia dont miss the goalsteam news txt ur national team to eg trywales scotland txtú poboxoxwwq,24,True,True,False,True,True,False,"['england', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', 'eg', 'trywal', 'scotland', 'txtú', 'poboxoxwwq']"
ham,is that seriously how you spell his name,8,True,False,False,False,True,False,"['serious', 'spell', 'name']"
ham,im going to try for months ha only joking,11,True,True,False,False,True,False,"['im', 'go', 'tri', 'month', 'ha', 'joke']"
ham,so ü pay first lar then when is da stock comin,11,True,False,False,False,True,False,"['pay', 'first', 'lar', 'da', 'stock', 'comin']"
ham,aft i finish my lunch then go str down lor ard smth u ur already,20,True,True,False,False,True,False,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'ur', 'alreadi']"
ham,ff alright no way i can meet up with you sooner,11,True,False,False,False,True,False,"['ff', 'alright', 'way', 'meet', 'sooner']"
