label,message,word_count,has_punctuation,has_digits,has_url,has_special_chars,has_uppercase,has_emoji,tokens
ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,20,True,False,False,False,True,False,"['go', 'jurong', 'point', 'crazy', 'available', 'bugis', 'great', 'world', 'la', 'buffet', 'cine', 'got', 'amore', 'wat']"
ham,ok lar joking wif u oni,6,True,False,False,False,True,False,"['ok', 'lar', 'joking', 'wif', 'oni']"
spam,free entry in a wkly comp to win fa cup final tkts st may text receive questionstd txt ratetcs apply overs,28,True,True,False,True,True,False,"['free', 'entry', 'wkly', 'comp', 'win', 'fa', 'cup', 'final', 'tkts', 'st', 'may', 'text', 'receive', 'questionstd', 'txt', 'ratetcs', 'apply', 'over']"
ham,u dun say so early hor c already then,11,True,False,False,False,True,False,"['dun', 'say', 'early', 'hor', 'already']"
ham,nah i dont think he goes to usf lives around here though,13,True,False,False,False,True,False,"['nah', 'dont', 'think', 'go', 'usf', 'life', 'around', 'though']"
spam,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xx std chgs to send rcv,32,True,True,False,False,True,False,"['freemsg', 'hey', 'darling', 'week', 'word', 'back', 'id', 'like', 'fun', 'still', 'tb', 'ok', 'xx', 'std', 'chgs', 'send', 'rcv']"
ham,even my brother is not like to speak with me they treat aids patent,16,True,False,False,False,True,False,"['even', 'brother', 'like', 'speak', 'treat', 'aid', 'patent']"
ham,as per your request melle oru minnaminunginte nurungu vettam has been set callertune for all callers press to copy friends,26,True,True,False,True,True,False,"['per', 'request', 'melle', 'oru', 'minnaminunginte', 'nurungu', 'vettam', 'set', 'callertune', 'caller', 'press', 'copy', 'friend']"
spam,winner as a valued network customer you have been selected to receivea prize reward claim call code kl valid hours only,26,True,True,False,False,True,False,"['winner', 'valued', 'network', 'customer', 'selected', 'receivea', 'prize', 'reward', 'claim', 'call', 'code', 'kl', 'valid', 'hour']"
spam,had your mobile months or more u r entitled to update the latest colour mobiles with camera for free call co on,29,True,True,False,False,True,False,"['mobile', 'month', 'entitled', 'update', 'latest', 'colour', 'mobile', 'camera', 'free', 'call', 'co']"
ham,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,21,True,False,False,False,True,False,"['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymore', 'tonight', 'ive', 'cried', 'enough', 'today']"
spam,six chances to win cash from pounds txt csh and send cost pday days tsandcs apply reply hl info,26,True,True,False,True,True,False,"['six', 'chance', 'win', 'cash', 'pound', 'txt', 'csh', 'send', 'cost', 'pday', 'day', 'tsandcs', 'apply', 'reply', 'hl', 'info']"
spam,urgent you have won a week free membership in our prize jackpot txt the word claim to no tc wwdbuknet lccltd pobox ldnwarw,26,True,True,True,True,True,False,"['urgent', 'week', 'free', 'membership', 'prize', 'jackpot', 'txt', 'word', 'claim', 'tc', 'wwdbuknet', 'lccltd', 'pobox', 'ldnwarw']"
ham,ive been searching for the right words to thank you this breather i promise wont take your help granted and will fulfil my have wonderful a blessing at all times,37,True,False,False,False,True,False,"['ive', 'searching', 'right', 'word', 'thank', 'breather', 'promise', 'wont', 'take', 'help', 'granted', 'fulfil', 'wonderful', 'blessing', 'time']"
ham,i have a date on sunday with will,8,True,False,False,False,True,False,"['date', 'sunday']"
spam,xxmobilemovieclub to use your credit click the wap link in next txt message or here httpwap xxmobilemovieclubcomnqjkgighjjgcbl,19,True,False,True,True,True,False,"['xxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'message', 'httpwap', 'xxmobilemovieclubcomnqjkgighjjgcbl']"
ham,oh kim watching here,4,True,False,False,True,True,False,"['oh', 'kim', 'watching']"
ham,eh u remember how spell his name yes i did he v naughty make until wet,19,True,True,False,False,True,False,"['eh', 'remember', 'spell', 'name', 'yes', 'naughty', 'make', 'wet']"
ham,fine if thats the way u feel its gota b,13,True,False,False,False,True,False,"['fine', 'thats', 'way', 'feel', 'gota']"
spam,england v macedonia dont miss the goalsteam news txt ur national team to eg trywales scotland txtú poboxoxwwq,24,True,True,False,True,True,False,"['england', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'national', 'team', 'eg', 'trywales', 'scotland', 'txtú', 'poboxoxwwq']"
ham,is that seriously how you spell his name,8,True,False,False,False,True,False,"['seriously', 'spell', 'name']"
ham,im going to try for months ha only joking,11,True,True,False,False,True,False,"['im', 'going', 'try', 'month', 'ha', 'joking']"
ham,so ü pay first lar then when is da stock comin,11,True,False,False,False,True,False,"['pay', 'first', 'lar', 'da', 'stock', 'comin']"
ham,aft i finish my lunch then go str down lor ard smth u ur already,20,True,True,False,False,True,False,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', 'smth', 'ur', 'already']"
ham,ff alright no way i can meet up with you sooner,11,True,False,False,False,True,False,"['ff', 'alright', 'way', 'meet', 'sooner']"
ham,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows sick when i turn down pizza lol,28,True,False,False,False,True,False,"['forced', 'eat', 'slice', 'im', 'really', 'hungry', 'tho', 'suck', 'mark', 'getting', 'worried', 'know', 'sick', 'turn', 'pizza', 'lol']"
ham,lol your always so convincing,5,True,False,False,False,True,False,"['lol', 'always', 'convincing']"
ham,did you catch the bus are frying an egg make a tea eating your moms left over dinner do feel my love,32,True,False,False,False,True,False,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'mom', 'left', 'dinner', 'feel', 'love']"
ham,im back amp were packing the car now ill let you know if theres room,15,True,False,False,True,True,False,"['im', 'back', 'amp', 'packing', 'car', 'ill', 'let', 'know', 'there', 'room']"
ham,ahh work i vaguely remember that what does it feel like lol,12,True,False,False,False,True,False,"['ahh', 'work', 'vaguely', 'remember', 'feel', 'like', 'lol']"
ham,wait thats still not all that clear were you sure about me being sarcastic or why x doesnt want to live with us,26,True,False,False,False,True,False,"['wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'doesnt', 'want', 'live', 'u']"
ham,yeah he got in at and was v apologetic n had fallen out she actin like spoilt child caught up that till but we wont go there not doing too badly cheers you,41,True,True,False,False,True,False,"['yeah', 'got', 'apologetic', 'fallen', 'actin', 'like', 'spoilt', 'child', 'caught', 'till', 'wont', 'go', 'badly', 'cheer']"
ham,k tell me anything about you,6,True,False,False,False,True,False,"['tell', 'anything']"
ham,for fear of fainting with the all that housework you just did quick have a cuppa,17,True,False,False,False,True,False,"['fear', 'fainting', 'housework', 'quick', 'cuppa']"
